id,amount,currency,merchant,timestamp
TXN-000001,126.03,GBP,Starbucks,2024-01-01T00:03:00
TXN-000002,1116.83,USD,Netflix,2024-01-01T00:06:00
TXN-000003,435.61,MXN,Target,2024-01-01T00:09:00
TXN-000004,149.96,EUR,Amazon,2024-01-01T00:12:00
TXN-000005,2527.27,USD,Netflix,2024-01-01T00:15:00
TXN-000006,994.99,MXN,Target,2024-01-01T00:18:00
TXN-000007,2246.6,GBP,Netflix,2024-01-01T00:21:00
TXN-000008,3794.28,EUR,Amazon,2024-01-01T00:24:00
TXN-000009,1701.91,EUR,Spotify,2024-01-01T00:27:00
TXN-000010,4786.11,GBP,Netflix,2024-01-01T00:30:00
TXN-000011,464.64,USD,Starbucks,2024-01-01T00:33:00
TXN-000012,4237.62,GBP,Walmart,2024-01-01T00:36:00
TXN-000013,3648.93,USD,Amazon,2024-01-01T00:39:00
TXN-000014,394.92,GBP,Spotify,2024-01-01T00:42:00
TXN-000015,4427.37,GBP,McDonald's,2024-01-01T00:45:00
TXN-000016,962.25,USD,McDonald's,2024-01-01T00:48:00
TXN-000017,3306.66,GBP,Amazon,2024-01-01T00:51:00
TXN-000018,4276.73,USD,Starbucks,2024-01-01T00:54:00
TXN-000019,1390.59,GBP,Spotify,2024-01-01T00:57:00
TXN-000020,1851.53,EUR,Shell,2024-01-01T01:00:00
TXN-000021,3509.4,USD,Uber,2024-01-01T01:03:00
TXN-000022,3175.26,EUR,McDonald's,2024-01-01T01:06:00
TXN-000023,2311.84,GBP,Shell,2024-01-01T01:09:00
TXN-000024,1098.86,GBP,Target,2024-01-01T01:12:00
TXN-000025,1146.01,USD,Amazon,2024-01-01T01:15:00
TXN-000026,2006.42,USD,Walmart,2024-01-01T01:18:00
TXN-000027,4565.77,GBP,Netflix,2024-01-01T01:21:00
TXN-000028,3277.54,MXN,Netflix,2024-01-01T01:24:00
TXN-000029,715.22,EUR,Apple,2024-01-01T01:27:00
TXN-000030,3725.2,GBP,Netflix,2024-01-01T01:30:00
TXN-000031,2142.74,MXN,McDonald's,2024-01-01T01:33:00
TXN-000032,1097.38,EUR,Walmart,2024-01-01T01:36:00
TXN-000033,2468.09,USD,Target,2024-01-01T01:39:00
TXN-000034,765.05,EUR,Starbucks,2024-01-01T01:42:00
TXN-000035,2982.45,MXN,Spotify,2024-01-01T01:45:00
TXN-000036,2979.85,MXN,Spotify,2024-01-01T01:48:00
TXN-000037,1257.82,USD,Target,2024-01-01T01:51:00
TXN-000038,3408.87,GBP,Starbucks,2024-01-01T01:54:00
TXN-000039,558.65,MXN,Walmart,2024-01-01T01:57:00
TXN-000040,2269.16,GBP,Shell,2024-01-01T02:00:00
TXN-000041,3810.05,USD,Target,2024-01-01T02:03:00
TXN-000042,4208.51,EUR,Uber,2024-01-01T02:06:00
TXN-000043,1870.2,EUR,Shell,2024-01-01T02:09:00
TXN-000044,4767.55,USD,Target,2024-01-01T02:12:00
TXN-000045,1621.46,USD,McDonald's,2024-01-01T02:15:00
TXN-000046,4645.56,GBP,Starbucks,2024-01-01T02:18:00
TXN-000047,290.57,USD,Netflix,2024-01-01T02:21:00
TXN-000048,3659.81,USD,Starbucks,2024-01-01T02:24:00
TXN-000049,3829.41,EUR,Target,2024-01-01T02:27:00
TXN-000050,4734.3,EUR,Apple,2024-01-01T02:30:00
TXN-000051,2638.84,MXN,Uber,2024-01-01T02:33:00
TXN-000052,4644.64,EUR,Netflix,2024-01-01T02:36:00
TXN-000053,1995.56,GBP,Uber,2024-01-01T02:39:00
TXN-000054,4498.17,MXN,Apple,2024-01-01T02:42:00
TXN-000055,1240.28,USD,Starbucks,2024-01-01T02:45:00
TXN-000056,106.15,EUR,Walmart,2024-01-01T02:48:00
TXN-000057,1101.87,USD,McDonald's,2024-01-01T02:51:00
TXN-000058,1145.48,USD,Amazon,2024-01-01T02:54:00
TXN-000059,355.22,EUR,Walmart,2024-01-01T02:57:00
TXN-000060,3345.22,EUR,Uber,2024-01-01T03:00:00
TXN-000061,662.43,MXN,Target,2024-01-01T03:03:00
TXN-000062,3923.31,MXN,Netflix,2024-01-01T03:06:00
TXN-000063,472.53,MXN,Netflix,2024-01-01T03:09:00
TXN-000064,2118.47,MXN,Walmart,2024-01-01T03:12:00
TXN-000065,3367.15,USD,Amazon,2024-01-01T03:15:00
TXN-000066,2013.7,GBP,Amazon,2024-01-01T03:18:00
TXN-000067,1244.03,EUR,Starbucks,2024-01-01T03:21:00
TXN-000068,2243.62,MXN,Target,2024-01-01T03:24:00
TXN-000069,1393.45,EUR,Shell,2024-01-01T03:27:00
TXN-000070,2216.21,USD,Starbucks,2024-01-01T03:30:00
TXN-000071,3261.07,USD,Amazon,2024-01-01T03:33:00
TXN-000072,4631.91,EUR,Starbucks,2024-01-01T03:36:00
TXN-000073,2032.66,MXN,Shell,2024-01-01T03:39:00
TXN-000074,4323.39,USD,Netflix,2024-01-01T03:42:00
TXN-000075,1895.49,MXN,Shell,2024-01-01T03:45:00
TXN-000076,4632.66,MXN,Uber,2024-01-01T03:48:00
TXN-000077,2115.61,MXN,Uber,2024-01-01T03:51:00
TXN-000078,950.3,EUR,Shell,2024-01-01T03:54:00
TXN-000079,2896.32,USD,Amazon,2024-01-01T03:57:00
TXN-000080,286.77,MXN,Walmart,2024-01-01T04:00:00
TXN-000081,4597.02,EUR,Target,2024-01-01T04:03:00
TXN-000082,4803.93,USD,Amazon,2024-01-01T04:06:00
TXN-000083,343.54,USD,Shell,2024-01-01T04:09:00
TXN-000084,2019.47,EUR,Netflix,2024-01-01T04:12:00
TXN-000085,2973.0,USD,McDonald's,2024-01-01T04:15:00
TXN-000086,3287.21,GBP,Spotify,2024-01-01T04:18:00
TXN-000087,1022.09,GBP,Uber,2024-01-01T04:21:00
TXN-000088,1328.81,EUR,Netflix,2024-01-01T04:24:00
TXN-000089,2286.67,USD,Uber,2024-01-01T04:27:00
TXN-000090,2291.97,USD,Amazon,2024-01-01T04:30:00
TXN-000091,2688.63,GBP,Starbucks,2024-01-01T04:33:00
TXN-000092,4666.36,USD,Shell,2024-01-01T04:36:00
TXN-000093,1848.27,EUR,Netflix,2024-01-01T04:39:00
TXN-000094,4168.89,GBP,Apple,2024-01-01T04:42:00
TXN-000095,4919.28,USD,McDonald's,2024-01-01T04:45:00
TXN-000096,1497.59,USD,Target,2024-01-01T04:48:00
TXN-000097,1323.07,USD,Shell,2024-01-01T04:51:00
TXN-000098,778.08,GBP,Target,2024-01-01T04:54:00
TXN-000099,1053.94,GBP,McDonald's,2024-01-01T04:57:00
TXN-000100,3437.8,GBP,Netflix,2024-01-01T05:00:00
TXN-000101,2443.17,USD,Target,2024-01-01T05:03:00
TXN-000102,3171.79,GBP,Starbucks,2024-01-01T05:06:00
TXN-000103,18.72,EUR,Amazon,2024-01-01T05:09:00
TXN-000104,808.75,MXN,Uber,2024-01-01T05:12:00
TXN-000105,3528.63,USD,Target,2024-01-01T05:15:00
TXN-000106,377.14,EUR,Starbucks,2024-01-01T05:18:00
TXN-000107,181.1,GBP,Target,2024-01-01T05:21:00
TXN-000108,2763.07,MXN,McDonald's,2024-01-01T05:24:00
TXN-000109,210.1,GBP,Shell,2024-01-01T05:27:00
TXN-000110,4494.72,EUR,Amazon,2024-01-01T05:30:00
TXN-000111,3335.0,GBP,Netflix,2024-01-01T05:33:00
TXN-000112,4420.79,MXN,Target,2024-01-01T05:36:00
TXN-000113,3747.64,EUR,McDonald's,2024-01-01T05:39:00
TXN-000114,4881.05,EUR,Shell,2024-01-01T05:42:00
TXN-000115,124.91,GBP,Spotify,2024-01-01T05:45:00
TXN-000116,4011.37,EUR,Spotify,2024-01-01T05:48:00
TXN-000117,796.83,USD,Uber,2024-01-01T05:51:00
TXN-000118,4360.96,MXN,Spotify,2024-01-01T05:54:00
TXN-000119,998.66,MXN,Netflix,2024-01-01T05:57:00
TXN-000120,1526.65,EUR,Walmart,2024-01-01T06:00:00
TXN-000121,119.3,EUR,Netflix,2024-01-01T06:03:00
